n,d,beta,Melhor,M̩dia,Desvio
10,2,1,291,310.5,19.530744993471192
10,2,3,291,299.1,16.866831356244717
10,2,5,291,300.4,10.200000000000001
10,5,1,291,313.4,16.119553343687908
10,5,3,291,300.2,12.106196760337246
10,5,5,291,302.2,14.483093592185337
10,8,1,291,308.0,10.44030650891055
10,8,3,291,294.2,6.3999999999999995
10,8,5,291,303.7,17.447349368886954
15,2,1,291,304.2,10.43839068055991
15,2,3,291,303.2,13.128594745821047
15,2,5,291,302.2,14.483093592185337
15,5,1,291,304.8,12.50439922587247
15,5,3,291,298.4,13.146862743635838
15,5,5,291,302.8,15.580757362849855
15,8,5,291,298.4,9.035485598461213
20,2,1,291,301.4,11.200000000000001
20,2,3,291,294.2,6.4
20,2,5,291,300.8,13.219682295728592
20,5,5,291,310.0,15.472556349873152
20,8,3,291,322.5,16.163229875244614
15,8,1,299,330.0,14.953260514014994
15,8,3,299,311.9,9.575489543621254
20,8,5,303,321.1,10.34842983258813
20,5,3,307,324.2,9.4424573072903
20,5,1,313,337.0,12.767145334803704
20,8,1,319,341.0,10.761040841851685
